Rank,Player,REC,TGT,YDS,Y.R,LG,X20.,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS.G,ROST,Fantasy_yr,Posit
26,Jordan Akins (CLE),36,55,418,11.6,53,7,2,0,0,0,0,16,53.8,3.4,0.60%,2019,TE
25,Blake Jarwin (FA),31,41,365,11.8,42,11,3,0,0,0,0,16,54.5,3.4,4.00%,2019,TE
24,Cameron Brate (FA),36,55,311,8.6,37,2,4,0,0,0,0,16,55.1,3.4,2.00%,2019,TE
23,Eric Ebron (FA),31,52,375,12.1,48,8,3,0,0,0,0,11,55.5,5,0.00%,2019,TE
22,Jimmy Graham (NO),38,60,447,11.8,48,9,3,0,0,0,0,16,62.7,3.9,0.20%,2019,TE
21,Tyler Eifert (FA),43,63,436,10.1,27,4,3,0,0,0,0,16,63.6,4,0.00%,2019,TE
20,Ryan Griffin (FA),34,41,320,9.4,45,6,5,0,0,0,0,13,64,4.9,0.00%,2019,TE
19,Evan Engram (JAC),44,68,467,10.6,75,9,3,3,7,0,0,8,65.4,8.2,94.10%,2019,TE
18,Jack Doyle (FA),43,72,448,10.4,23,4,4,0,0,0,0,16,68.8,4.3,2.00%,2019,TE
17,Jonnu Smith (ATL),35,44,439,12.5,57,14,3,4,78,0,0,16,69.7,4.4,0.70%,2019,TE
16,Noah Fant (SEA),40,66,562,14.1,75,18,3,3,-12,0,1,16,71,4.4,5.30%,2019,TE
15,Greg Olsen (FA),52,82,597,11.5,41,9,2,0,0,0,0,14,71.7,5.1,7.00%,2019,TE
14,Kyle Rudolph (FA),39,48,367,9.4,32,4,6,0,0,0,0,16,74.7,4.7,0.00%,2019,TE
13,Darren Fells (FA),34,48,341,10,24,2,7,0,0,0,0,16,76.1,4.8,0.00%,2019,TE
12,Jason Witten (FA),63,83,529,8.4,33,3,4,0,0,0,1,16,76.9,4.8,0.00%,2019,TE
11,Mike Gesicki (NE),51,89,570,11.2,34,10,5,0,0,0,1,16,85,5.3,29.00%,2019,TE
10,Dallas Goedert (PHI),58,87,607,10.5,28,8,5,0,0,0,2,15,86.7,5.8,96.80%,2019,TE
9,Tyler Higbee (LAR),69,89,734,10.6,33,13,3,0,0,0,0,15,91.4,6.1,71.30%,2019,TE
8,Hunter Henry (NE),55,76,652,11.9,30,9,5,0,0,0,1,12,95.2,7.9,4.80%,2019,TE
7,Austin Hooper (LV),75,97,787,10.5,35,11,6,0,0,0,0,13,116.7,9,1.50%,2019,TE
6,Jared Cook (FA),43,65,705,16.4,61,23,9,0,0,0,0,14,124.5,8.9,0.00%,2019,TE
5,Zach Ertz (ARI),88,135,916,10.4,30,13,6,0,0,0,1,15,127.6,8.5,29.90%,2019,TE
4,Darren Waller (NYG),90,117,"1,145",12.7,75,23,3,2,5,0,1,16,131,8.2,98.40%,2019,TE
3,George Kittle (SF),85,107,"1,053",12.4,61,25,5,5,22,0,0,14,137.5,9.8,99.20%,2019,TE
2,Mark Andrews (BAL),64,98,852,13.3,51,25,10,0,0,0,1,15,143.2,9.5,99.90%,2019,TE
1,Travis Kelce (KC),97,136,"1,229",12.7,47,21,5,1,4,1,1,16,157.3,9.8,100.00%,2019,TE
